Sublibrary|Collection|Material Type|Item Status|IPS|Temp Loc|Item Count
TNS Scherman Library|SpecCol|Books|Library Use Only|Not in Process|No|16
TNS Scherman Library|Annex|Books|Depository|Depository|No|44
TNS Scherman Library|Main Collection|Issue (bound)|Depository|Depository|No|9
TNS Scherman Library|SpecCol|Sound Recordings|Library Use Only|Not in Process|No|4
TNS Scherman Library|Reserve Collection|Books|In Cataloging|In Cataloging|No|2
TNS Scherman Library|Music|Periodicals|Regular loan|Not in Process|No|1
TNS Scherman Library|Main Collection|Books|Regular loan|Not in Process|Yes|134
TNS Scherman Library|Reserve Collection|Videos|Reserve 4 hour loan|Not in Process|No|1
TNS Scherman Library|Audio Visual|Videos|Video|Not in Process|No|622
TNS Scherman Library|Full Score|Scores|Depository|Depository|Yes|2
TNS Scherman Library|Music|Sound Recordings|Order initiated|OI|No|5
TNS Scherman Library|Music|Scores|Missing|Missing|No|2
TNS Scherman Library|Reserve Collection|Sound Recordings|Reserve 4 hour loan|Not in Process|Yes|28
TNS Scherman Library|SpecCol|Books|Bindery prep|Bindery prep|No|5
TNS Scherman Library|Annex|Sound Recordings|Depository|Depository|Yes|1
TNS Scherman Library|Full Score|Scores|Regular loan|Pre-bindery|No|1
TNS Scherman Library|Reserve Collection|Books|Regular loan|Not in Process|Yes|2
TNS Scherman Library|Miniature Scores|Scores|In Transit|In Transit|No|1
TNS Scherman Library|Main Collection|Periodicals|Bindery prep|Bindery prep|No|1
TNS Scherman Library|Music|Books|In House Cataloging|In House Cataloging|No|2
TNS Scherman Library|Music|Periodicals|Received|Received|No|8
TNS Scherman Library|Reserve Collection|Sound Recordings|Regular loan|Not in Process|Yes|1
TNS Scherman Library|Audio Visual|Sound Recordings|Recorded music|Not in Process|Yes|18
TNS Scherman Library|Reserve Collection|Scores|Reserve 4 hour loan|Not in Process|No|1
TNS Scherman Library|Audio Visual|Sound Recordings|Depository|Depository|No|5658
TNS Scherman Library|Annex|Scores|Depository|Depository|No|46
TNS Scherman Library|Main Collection|Sound Recordings|On Order|On order|No|1
TNS Scherman Library|Reserve Collection|Sound Recordings|Recorded music|Not in Process|Yes|2
TNS Scherman Library|Annex|Sound Recordings|Recorded music|Not in Process|Yes|536
TNS Scherman Library|Reference|Books|NYU offsite prep|Offsite processing|No|3
TNS Scherman Library|Main Collection|Scores|Out to Cat|Out to Cat|No|1
TNS Scherman Library|SpecCol|Scores|Library Use Only|Not in Process|Yes|1
TNS Scherman Library|Audio Visual|Sound Recordings|On Search|On Search|Yes|1
TNS Scherman Library|Main Collection|Periodicals|Regular loan|Not in Process|No|118
TNS Scherman Library|Reference|Books|Regular loan|Not in Process|No|43
TNS Scherman Library|Miniature Scores|Scores|Regular loan|Not in Process|Yes|49
TNS Scherman Library|Full Score|Scores|On Order|On order|Yes|1
TNS Scherman Library|Full Score|Scores|Regular loan|Not in Process|Yes|42
TNS Scherman Library|Periodicals|Periodicals|Depository|Depository|No|370
TNS Scherman Library|Reference|Scores|Library Use Only|Not in Process|No|17
TNS Scherman Library|Audio Visual|Sound Recordings|NYU offsite prep|Offsite processing|No|2
TNS Scherman Library|Main Collection|Books|Depository|Depository|No|1876
TNS Scherman Library|Miniature Scores|Scores|On Search|On Search|No|12
TNS Scherman Library|Oversize Collection|Books|In House Cataloging|In House Cataloging|No|2
TNS Scherman Library|Oversize Collection|Scores|Library Use Only|Not in Process|No|1
TNS Scherman Library|Miniature Scores|Scores|Lost and Paid|Lost and Paid|No|1
TNS Scherman Library|Music Reference|Scores|At Bindery|At Bindery|No|3
TNS Scherman Library|SpecCol|Books|Special Collection|Not in Process|No|3
